"product_key","product_name","category","subcategory","cost","lifespan","last_sale_date","recency","total_orders","total_customers","total_sales","total_quantity","avg_selling_price","product_segment","avg_order_revenue","avg_monthly_revenue"
3,Mountain-100 Black- 38,Bikes,Mountain Bikes,1898,11,2011-12-27,177,49,49,165375,49,3375.0,High Performer,3375,15034.090909090909
4,Mountain-100 Black- 42,Bikes,Mountain Bikes,1898,11,2011-12-27,177,45,45,151875,45,3375.0,High Performer,3375,13806.818181818182
5,Mountain-100 Black- 44,Bikes,Mountain Bikes,1898,11,2011-12-21,177,60,60,202500,60,3375.0,High Performer,3375,18409.090909090909
6,Mountain-100 Black- 48,Bikes,Mountain Bikes,1898,12,2011-12-26,177,57,57,192375,57,3375.0,High Performer,3375,16031.250000000000
7,Mountain-100 Silver- 38,Bikes,Mountain Bikes,1912,12,2011-12-22,177,58,58,197200,58,3400.0,High Performer,3400,16433.333333333333
8,Mountain-100 Silver- 42,Bikes,Mountain Bikes,1912,11,2011-12-28,177,42,42,142800,42,3400.0,High Performer,3400,12981.818181818182
9,Mountain-100 Silver- 44,Bikes,Mountain Bikes,1912,12,2011-12-12,177,49,49,166600,49,3400.0,High Performer,3400,13883.333333333333
10,Mountain-100 Silver- 48,Bikes,Mountain Bikes,1912,11,2011-12-23,177,36,36,122400,36,3400.0,High Performer,3400,11127.272727272727
16,Road-150 Red- 44,Bikes,Road Bikes,2171,12,2011-12-28,177,281,281,1005418,281,3578.0,High Performer,3578,83784.833333333333
17,Road-150 Red- 48,Bikes,Road Bikes,2171,12,2011-12-28,177,337,337,1205786,337,3578.0,High Performer,3578,100482.166666666667
18,Road-150 Red- 52,Bikes,Road Bikes,2171,12,2011-12-27,177,302,302,1080556,302,3578.0,High Performer,3578,90046.333333333333
19,Road-150 Red- 56,Bikes,Road Bikes,2171,12,2011-12-27,177,295,295,1055510,295,3578.0,High Performer,3578,87959.166666666667
20,Road-150 Red- 62,Bikes,Road Bikes,2171,12,2011-12-28,177,336,336,1202208,336,3578.0,High Performer,3578,100184.000000000000
36,Road-650 Black- 44,Bikes,Road Bikes,487,23,2012-12-26,165,63,63,47565,63,755.0,Mid Range,755,2068.0434782608695652
37,Road-650 Black- 48,Bikes,Road Bikes,487,21,2012-12-25,165,60,60,45552,60,759.2,Mid Range,759,2169.1428571428571429
38,Road-650 Black- 52,Bikes,Road Bikes,487,23,2012-12-19,165,89,89,66915,89,751.9,High Performer,751,2909.3478260869565217
39,Road-650 Black- 58,Bikes,Road Bikes,487,23,2012-12-18,165,76,76,57996,76,763.1,High Performer,763,2521.5652173913043478
40,Road-650 Black- 60,Bikes,Road Bikes,487,22,2012-12-12,165,76,76,57156,76,752.1,High Performer,752,2598.0000000000000000
41,Road-650 Black- 62,Bikes,Road Bikes,487,24,2012-12-18,165,65,65,49047,65,754.6,Mid Range,754,2043.6250000000000000
42,Road-650 Red- 44,Bikes,Road Bikes,487,23,2012-12-25,165,72,72,54528,72,757.3,High Performer,757,2370.7826086956521739
43,Road-650 Red- 48,Bikes,Road Bikes,487,23,2012-12-27,165,88,88,66720,88,758.2,High Performer,758,2900.8695652173913043
44,Road-650 Red- 52,Bikes,Road Bikes,487,24,2012-12-21,165,61,61,46083,61,755.5,Mid Range,755,1920.1250000000000000
45,Road-650 Red- 58,Bikes,Road Bikes,487,22,2012-12-18,165,74,74,56346,74,761.4,High Performer,761,2561.1818181818181818
46,Road-650 Red- 60,Bikes,Road Bikes,487,23,2012-12-23,165,53,53,40071,53,756.1,Mid Range,756,1742.2173913043478261
47,Road-650 Red- 62,Bikes,Road Bikes,487,23,2012-12-05,165,75,75,57381,75,765.1,High Performer,765,2494.8260869565217391
48,Road-250 Red- 44,Bikes,Road Bikes,1519,12,2012-12-25,165,144,144,351792,144,2443.0,High Performer,2443,29316.000000000000
49,Road-250 Red- 48,Bikes,Road Bikes,1519,12,2012-12-24,165,162,162,395766,162,2443.0,High Performer,2443,32980.500000000000
50,Road-250 Red- 52,Bikes,Road Bikes,1519,12,2012-12-25,165,133,133,324919,133,2443.0,High Performer,2443,27076.583333333333
104,Mountain Bottle Cage,Accessories,Bottles and Cages,4,13,2014-01-28,152,2025,2004,20340,2034,10.0,Mid Range,10,1564.6153846153846154
105,Road Bottle Cage,Accessories,Bottles and Cages,3,13,2014-01-25,152,1711,1699,15399,1711,9.0,Mid Range,9,1184.5384615384615385
106,Mountain-500 Black- 40,Bikes,Mountain Bikes,295,12,2013-12-13,153,48,48,25920,48,540.0,Mid Range,540,2160.0000000000000000
107,Mountain-500 Black- 42,Bikes,Mountain Bikes,295,11,2013-12-25,153,49,49,26460,49,540.0,Mid Range,540,2405.4545454545454545
108,Mountain-500 Black- 44,Bikes,Mountain Bikes,295,11,2013-12-25,153,58,58,31320,58,540.0,Mid Range,540,2847.2727272727272727
109,Mountain-500 Black- 48,Bikes,Mountain Bikes,295,11,2013-12-26,153,56,56,30240,56,540.0,Mid Range,540,2749.0909090909090909
110,Mountain-500 Black- 52,Bikes,Mountain Bikes,295,11,2013-12-24,153,41,41,22140,41,540.0,Mid Range,540,2012.7272727272727273
111,Mountain-500 Silver- 40,Bikes,Mountain Bikes,308,11,2013-12-26,153,45,45,25425,45,565.0,Mid Range,565,2311.3636363636363636
112,Mountain-500 Silver- 42,Bikes,Mountain Bikes,308,11,2013-12-27,153,45,45,25425,45,565.0,Mid Range,565,2311.3636363636363636
113,Mountain-500 Silver- 44,Bikes,Mountain Bikes,308,12,2013-12-25,153,39,39,22035,39,565.0,Mid Range,565,1836.2500000000000000
114,Mountain-500 Silver- 48,Bikes,Mountain Bikes,308,11,2013-12-27,153,50,50,28250,50,565.0,Mid Range,565,2568.1818181818181818
115,Mountain-500 Silver- 52,Bikes,Mountain Bikes,308,11,2013-12-25,153,48,48,27120,48,565.0,Mid Range,565,2465.4545454545454545
116,Mountain-400-W Silver- 38,Bikes,Mountain Bikes,420,11,2013-12-27,153,148,148,113812,148,769.0,High Performer,769,10346.5454545454545455
117,Mountain-400-W Silver- 40,Bikes,Mountain Bikes,420,12,2013-12-24,153,128,128,98432,128,769.0,High Performer,769,8202.6666666666666667
118,Mountain-400-W Silver- 42,Bikes,Mountain Bikes,420,11,2013-12-27,153,129,129,99201,129,769.0,High Performer,769,9018.2727272727272727
119,Mountain-400-W Silver- 46,Bikes,Mountain Bikes,420,11,2013-12-24,153,138,138,106122,138,769.0,High Performer,769,9647.4545454545454545
120,Mountain-200 Black- 38,Bikes,Mountain Bikes,1252,24,2013-12-28,153,581,564,1292559,581,2224.7,High Performer,2224,53856.625000000000
121,Mountain-200 Black- 42,Bikes,Mountain Bikes,1252,23,2013-12-28,153,614,604,1363128,614,2220.1,High Performer,2220,59266.434782608696
122,Mountain-200 Black- 46,Bikes,Mountain Bikes,1252,24,2013-12-27,153,620,600,1373454,620,2215.2,High Performer,2215,57227.250000000000
123,Mountain-200 Silver- 38,Bikes,Mountain Bikes,1266,23,2013-12-28,153,596,583,1339394,596,2247.3,High Performer,2247,58234.521739130435
124,Mountain-200 Silver- 42,Bikes,Mountain Bikes,1266,24,2013-12-28,153,560,547,1257368,560,2245.3,High Performer,2245,52390.333333333333
125,Mountain-200 Silver- 46,Bikes,Mountain Bikes,1266,23,2013-12-28,153,579,566,1298709,579,2243.0,High Performer,2243,56465.608695652174
126,Road-750 Black- 44,Bikes,Road Bikes,344,12,2013-12-28,153,360,360,194400,360,540.0,High Performer,540,16200.000000000000
127,Road-750 Black- 48,Bikes,Road Bikes,344,12,2013-12-28,153,363,363,196020,363,540.0,High Performer,540,16335.000000000000
128,Road-750 Black- 52,Bikes,Road Bikes,344,12,2013-12-28,153,386,386,208440,386,540.0,High Performer,540,17370.000000000000
129,Road-750 Black- 58,Bikes,Road Bikes,344,12,2013-12-28,153,334,334,180360,334,540.0,High Performer,540,15030.000000000000
130,Road-550-W Yellow- 38,Bikes,Road Bikes,713,24,2013-12-26,153,270,267,293760,270,1088.0,High Performer,1088,12240.000000000000
131,Road-550-W Yellow- 40,Bikes,Road Bikes,713,23,2013-12-28,153,266,264,289880,266,1089.8,High Performer,1089,12603.478260869565
132,Road-550-W Yellow- 42,Bikes,Road Bikes,713,24,2013-12-26,153,306,303,334440,306,1092.9,High Performer,1092,13935.000000000000
133,Road-550-W Yellow- 44,Bikes,Road Bikes,713,23,2013-12-27,153,287,286,312200,287,1087.8,High Performer,1087,13573.913043478261
134,Road-550-W Yellow- 48,Bikes,Road Bikes,713,22,2013-12-27,153,261,258,283680,261,1086.9,High Performer,1086,12894.545454545455
135,Road-350-W Yellow- 40,Bikes,Road Bikes,1083,12,2013-12-27,153,246,246,418446,246,1701.0,High Performer,1701,34870.500000000000
136,Road-350-W Yellow- 42,Bikes,Road Bikes,1083,12,2013-12-27,153,235,235,399735,235,1701.0,High Performer,1701,33311.250000000000
137,Road-350-W Yellow- 44,Bikes,Road Bikes,1083,11,2013-12-27,153,216,216,367416,216,1701.0,High Performer,1701,33401.454545454545
138,Road-350-W Yellow- 48,Bikes,Road Bikes,1083,12,2013-12-25,153,232,232,394632,232,1701.0,High Performer,1701,32886.000000000000
139,Road-250 Black- 44,Bikes,Road Bikes,1555,24,2013-12-27,153,271,266,628384,271,2318.8,High Performer,2318,26182.666666666667
140,Road-250 Black- 48,Bikes,Road Bikes,1555,23,2013-12-28,153,298,289,691213,298,2319.5,High Performer,2319,30052.739130434783
141,Road-250 Black- 52,Bikes,Road Bikes,1555,24,2013-12-25,153,319,312,734425,319,2302.3,High Performer,2302,30601.041666666667
142,Road-250 Black- 58,Bikes,Road Bikes,1555,24,2013-12-26,153,270,265,622026,270,2303.8,High Performer,2303,25917.750000000000
143,Road-250 Red- 58,Bikes,Road Bikes,1555,24,2013-12-27,153,306,301,702666,306,2296.3,High Performer,2296,29277.750000000000
144,Touring-3000 Blue- 44,Bikes,Touring Bikes,461,11,2013-12-28,153,53,53,39326,53,742.0,Mid Range,742,3575.0909090909090909
145,Touring-3000 Blue- 50,Bikes,Touring Bikes,461,11,2013-12-23,153,48,48,35616,48,742.0,Mid Range,742,3237.8181818181818182
146,Touring-3000 Blue- 54,Bikes,Touring Bikes,461,12,2013-12-17,153,55,55,40810,55,742.0,Mid Range,742,3400.8333333333333333
147,Touring-3000 Blue- 58,Bikes,Touring Bikes,461,11,2013-12-27,153,57,57,42294,57,742.0,Mid Range,742,3844.9090909090909091
148,Touring-3000 Blue- 62,Bikes,Touring Bikes,461,11,2013-12-23,153,64,64,47488,64,742.0,Mid Range,742,4317.0909090909090909
149,Touring-3000 Yellow- 44,Bikes,Touring Bikes,461,11,2013-12-28,153,59,59,43778,59,742.0,Mid Range,742,3979.8181818181818182
150,Touring-3000 Yellow- 50,Bikes,Touring Bikes,461,11,2013-12-27,153,59,59,43778,59,742.0,Mid Range,742,3979.8181818181818182
151,Touring-3000 Yellow- 54,Bikes,Touring Bikes,461,11,2013-12-09,153,48,48,35616,48,742.0,Mid Range,742,3237.8181818181818182
152,Touring-3000 Yellow- 58,Bikes,Touring Bikes,461,12,2013-12-27,153,47,47,34874,47,742.0,Mid Range,742,2906.1666666666666667
153,Touring-3000 Yellow- 62,Bikes,Touring Bikes,461,11,2013-12-26,153,50,50,37100,50,742.0,Mid Range,742,3372.7272727272727273
154,Touring-2000 Blue- 46,Bikes,Touring Bikes,755,12,2013-12-27,153,97,97,117855,97,1215.0,High Performer,1215,9821.2500000000000000
155,Touring-2000 Blue- 50,Bikes,Touring Bikes,755,12,2013-12-27,153,106,106,128790,106,1215.0,High Performer,1215,10732.5000000000000000
156,Touring-2000 Blue- 54,Bikes,Touring Bikes,755,11,2013-12-28,153,88,88,106920,88,1215.0,High Performer,1215,9720.0000000000000000
157,Touring-2000 Blue- 60,Bikes,Touring Bikes,755,12,2013-12-28,153,81,81,98415,81,1215.0,High Performer,1215,8201.2500000000000000
158,Touring-1000 Blue- 46,Bikes,Touring Bikes,1482,12,2013-12-23,153,177,177,421968,177,2384.0,High Performer,2384,35164.000000000000
159,Touring-1000 Blue- 50,Bikes,Touring Bikes,1482,12,2013-12-28,153,150,150,357600,150,2384.0,High Performer,2384,29800.000000000000
160,Touring-1000 Blue- 54,Bikes,Touring Bikes,1482,11,2013-12-27,153,160,160,381440,160,2384.0,High Performer,2384,34676.363636363636
161,Touring-1000 Blue- 60,Bikes,Touring Bikes,1482,12,2013-12-27,153,147,147,350448,147,2384.0,High Performer,2384,29204.000000000000
162,Touring-1000 Yellow- 46,Bikes,Touring Bikes,1482,11,2013-12-28,153,172,170,410048,172,2384.0,High Performer,2384,37277.090909090909
163,Touring-1000 Yellow- 50,Bikes,Touring Bikes,1482,12,2013-12-23,153,151,150,359984,151,2384.0,High Performer,2384,29998.666666666667
164,Touring-1000 Yellow- 54,Bikes,Touring Bikes,1482,11,2013-12-27,153,158,158,376672,158,2384.0,High Performer,2384,34242.909090909091
165,Touring-1000 Yellow- 60,Bikes,Touring Bikes,1482,11,2013-12-23,153,140,140,333760,140,2384.0,High Performer,2384,30341.818181818182
166,AWC Logo Cap,Clothing,Caps,7,13,2014-01-28,152,2190,2132,19710,2190,9.0,Mid Range,9,1516.1538461538461538
168,Bike Wash - Dissolver,Accessories,Cleaners,3,12,2014-01-28,152,908,875,7272,909,8.0,Low Performer,8,606.0000000000000000
174,Fender Set - Mountain,Accessories,Fenders,8,13,2014-01-28,152,2121,2110,46662,2121,22.0,Mid Range,22,3589.3846153846153846
233,Half-Finger Gloves- L,Clothing,Gloves,9,13,2014-01-28,152,443,437,10632,443,24.0,Mid Range,24,817.8461538461538462
234,Half-Finger Gloves- M,Clothing,Gloves,9,13,2014-01-28,152,499,488,11976,499,24.0,Mid Range,24,921.2307692307692308
235,Half-Finger Gloves- S,Clothing,Gloves,9,13,2014-01-25,152,487,478,11688,487,24.0,Mid Range,24,899.0769230769230769
244,Sport-100 Helmet- Black,Accessories,Helmets,13,13,2014-01-28,152,2085,2024,72975,2085,35.0,High Performer,35,5613.4615384615384615
245,Sport-100 Helmet- Blue,Accessories,Helmets,13,13,2014-01-28,152,2124,2049,74375,2125,35.0,High Performer,35,5721.1538461538461538
246,Sport-100 Helmet- Red,Accessories,Helmets,13,13,2014-01-28,152,2230,2147,78050,2230,35.0,High Performer,35,6003.8461538461538462
247,Hydration Pack - 70 oz.,Accessories,Hydration Packs,21,13,2014-01-28,152,733,719,40315,733,55.0,Mid Range,55,3101.1538461538461538
248,Long-Sleeve Logo Jersey- L,Clothing,Jerseys,38,13,2014-01-28,152,452,449,22650,453,50.0,Mid Range,50,1742.3076923076923077
249,Long-Sleeve Logo Jersey- M,Clothing,Jerseys,38,13,2014-01-28,152,442,436,22100,442,50.0,Mid Range,50,1700.0000000000000000
250,Long-Sleeve Logo Jersey- S,Clothing,Jerseys,38,12,2014-01-28,152,429,426,21450,429,50.0,Mid Range,50,1787.5000000000000000
251,Long-Sleeve Logo Jersey- XL,Clothing,Jerseys,38,12,2014-01-28,152,413,409,20700,414,50.0,Mid Range,50,1725.0000000000000000
259,Patch Kit/8 Patches,Accessories,Tires and Tubes,1,13,2014-01-28,152,3189,2948,6378,3189,2.0,Low Performer,2,490.6153846153846154
260,Hitch Rack - 4-Bike,Accessories,Bike Racks,45,12,2014-01-28,152,327,324,39240,327,120.0,Mid Range,120,3270.0000000000000000
272,Women's Mountain Shorts- L,Clothing,Shorts,26,12,2014-01-28,152,363,363,25410,363,70.0,Mid Range,70,2117.5000000000000000
273,Women's Mountain Shorts- M,Clothing,Shorts,26,12,2014-01-26,152,352,352,24640,352,70.0,Mid Range,70,2053.3333333333333333
274,Women's Mountain Shorts- S,Clothing,Shorts,26,12,2014-01-28,152,304,304,21280,304,70.0,Mid Range,70,1773.3333333333333333
275,Short-Sleeve Classic Jersey- L,Clothing,Jerseys,42,13,2014-01-26,152,374,372,20196,374,54.0,Mid Range,54,1553.5384615384615385
276,Short-Sleeve Classic Jersey- M,Clothing,Jerseys,42,13,2014-01-27,152,407,404,21978,407,54.0,Mid Range,54,1690.6153846153846154
277,Short-Sleeve Classic Jersey- S,Clothing,Jerseys,42,13,2014-01-28,152,406,402,21924,406,54.0,Mid Range,54,1686.4615384615384615
278,Short-Sleeve Classic Jersey- XL,Clothing,Jerseys,42,12,2014-01-28,152,409,405,22086,409,54.0,Mid Range,54,1840.5000000000000000
279,Racing Socks- L,Clothing,Socks,3,13,2014-01-27,152,270,269,2430,270,9.0,Low Performer,9,186.9230769230769231
280,Racing Socks- M,Clothing,Socks,3,12,2014-01-28,152,298,295,2682,298,9.0,Low Performer,9,223.5000000000000000
